Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
Statecode,Turn-Around-Time (TAT) measurement.,"prod_bkp.pincode.""Statecode""",prod_bkp.pincode,
"▼ retail_b2b_dim_dates   (base table, 1 cols)",,,prod_bkp.retail_b2b_dim_dates,CREATE INDEX retail_b2b_dim_dates_order_date_idx ON prod_bkp.retail_b2b_dim_dates USING btree (order_date)
order_date,Timestamp or date indicating when order date occurred.,"prod_bkp.retail_b2b_dim_dates.""order_date""",prod_bkp.retail_b2b_dim_dates,
"▼ retail_b2b_district_level_orders   (base table, 6 cols)",,,prod_bkp.retail_b2b_district_level_orders,"CREATE INDEX retail_b2b_district_level_orders_delivery_district_idx ON prod_bkp.retail_b2b_district_level_orders USING btree (delivery_district)

CREATE INDEX retail_b2b_district_level_orders_delivery_state_idx ON prod_bkp.retail_b2b_district_level_orders USING btree (delivery_state)

CREATE INDEX retail_b2b_district_level_orders_order_date_idx ON prod_bkp.retail_b2b_district_level_orders USING btree (order_date)"
order_date,Timestamp or date indicating when order date occurred.,"prod_bkp.retail_b2b_district_level_orders.""order_date""",prod_bkp.retail_b2b_district_level_orders,
delivery_district,Data representing the delivery district.,"prod_bkp.retail_b2b_district_level_orders.""delivery_district""",prod_bkp.retail_b2b_district_level_orders,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.retail_b2b_district_level_orders.""delivery_state""",prod_bkp.retail_b2b_district_level_orders,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.retail_b2b_district_level_orders.""delivery_state_code""",prod_bkp.retail_b2b_district_level_orders,
total_orders_delivered,Data representing the total orders delivered.,"prod_bkp.retail_b2b_district_level_orders.""total_orders_delivered""",prod_bkp.retail_b2b_district_level_orders,
total_items,Data representing the total items.,"prod_bkp.retail_b2b_district_level_orders.""total_items""",prod_bkp.retail_b2b_district_level_orders,
"▼ retail_voucher_district_level_orders   (base table, 6 cols)",,,prod_bkp.retail_voucher_district_level_orders,"CREATE INDEX retail_voucher_district_level_orders_delivery_district_idx ON prod_bkp.retail_voucher_district_level_orders USING btree (delivery_district)

CREATE INDEX retail_voucher_district_level_orders_order_date_idx ON prod_bkp.retail_voucher_district_level_orders USING btree (order_date)

CREATE INDEX retail_voucher_district_level_orders_delivery_state_idx ON prod_bkp.retail_voucher_district_level_orders USING btree (delivery_state)"
order_date,Timestamp or date indicating when order date occurred.,"prod_bkp.retail_voucher_district_level_orders.""order_date""",prod_bkp.retail_voucher_district_level_orders,
delivery_district,Data representing the delivery district.,"prod_bkp.retail_voucher_district_level_orders.""delivery_district""",prod_bkp.retail_voucher_district_level_orders,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.retail_voucher_district_level_orders.""delivery_state""",prod_bkp.retail_voucher_district_level_orders,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.retail_voucher_district_level_orders.""delivery_state_code""",prod_bkp.retail_voucher_district_level_orders,
total_orders_delivered,Data representing the total orders delivered.,"prod_bkp.retail_voucher_district_level_orders.""total_orders_delivered""",prod_bkp.retail_voucher_district_level_orders,
total_items,Data representing the total items.,"prod_bkp.retail_voucher_district_level_orders.""total_items""",prod_bkp.retail_voucher_district_level_orders,
"▼ retail_voucher_fact_order_detail   (base table, 10 cols)",,,prod_bkp.retail_voucher_fact_order_detail,"CREATE INDEX retail_voucher_fact_order_detail_domain_idx ON prod_bkp.retail_voucher_fact_order_detail USING btree (domain)

CREATE INDEX retail_voucher_fact_order_detail_delivery_district_idx ON prod_bkp.retail_voucher_fact_order_detail USING btree (delivery_district)

CREATE INDEX retail_voucher_fact_order_detail_delivery_state_idx ON prod_bkp.retail_voucher_fact_order_detail USING btree (delivery_state)

CREATE INDEX retail_voucher_fact_order_detail_delivery_state_code_idx ON prod_bkp.retail_voucher_fact_order_detail USING btree (delivery_state_code)

CREATE INDEX retail_voucher_fact_order_detail_network_order_id_idx ON prod_bkp.retail_voucher_fact_order_detail USING btree (network_order_id)

CREATE INDEX retail_voucher_fact_order_detail_provider_key_idx ON prod_bkp.retail_voucher_fact_order_detail USING btree (provider_key)"
network_order_id,Data representing the network order id.,"prod_bkp.retail_voucher_fact_order_detail.""network_order_id""",prod_bkp.retail_voucher_fact_order_detail,
provider_key,Unique identifier for provider key.,"prod_bkp.retail_voucher_fact_order_detail.""provider_key""",prod_bkp.retail_voucher_fact_order_detail,
total_items,Data representing the total items.,"prod_bkp.retail_voucher_fact_order_detail.""total_items""",prod_bkp.retail_voucher_fact_order_detail,
domain,"The ONDC network domain (e.g., retail, logistics).","prod_bkp.retail_voucher_fact_order_detail.""domain""",prod_bkp.retail_voucher_fact_order_detail,
order_status,Turn-Around-Time (TAT) measurement.,"prod_bkp.retail_voucher_fact_order_detail.""order_status""",prod_bkp.retail_voucher_fact_order_detail,
delivery_pincode,Indian postal code (pincode).,"prod_bkp.retail_voucher_fact_order_detail.""delivery_pincode""",prod_bkp.retail_voucher_fact_order_detail,
